timestamp,test_name,pod_name,scheduling_latency,processing_latency,total_latency,pending_running_latency,pull_start_latency,cpu_usage,mem_usage,list_ops,success_rate,composite_load,cluster_state
2025-11-22T20:14:42Z,test_basic_detailed,test-pod,.399433852,N/A,N/A,0,4,238m,58Mi,5,100.00,N/A,4/4
2025-11-22T20:15:40Z,test_nginx_detailed,test-nginx-pod,.421758879,N/A,N/A,0,8,234m,59Mi,5,100.00,N/A,4/4
2025-11-22T20:17:02Z,test-worker3-pod_detailed,test-worker3-pod,.421758879,N/A,N/A,0,8,234m,59Mi,5,100.00,N/A,4/4
